Stock Symbol,Current Price,Year Target Price,Year High,Year Low
A,49.38,52.03,49.81,34.15
-1
AAN,29.93,34.88,34.22,20.26
AAT,42.90,46.20,46.38,34.07
AB,23.75,24.00,25.00,16.11
ABBV,60.67,70.11,68.12,51.60
ABEV,5.49,5.79,6.34,4.33
ABM,40.86,44.40,45.03,28.45
-1
-1
ABT,42.78,47.23,45.79,36.02
AC,36.70,10.87,36.70,24.67
ACCO,12.85,15.50,14.00,5.85
ACM,37.22,43.00,40.72,22.80
ACP,14.21,null,14.60,9.33
ACV,20.05,36.93,20.16,14.58
ADC,46.87,51.20,51.33,35.69
ADPT,7.23,16.21,73.44,6.87
ADX,13.25,null,13.35,10.96
AED,25.9625,null,26.6800,23.6500
AEG,5.62,5.52,6.09,3.36
AEK,25.74,null,28.38,25.04
AEM,49.21,51.68,60.10,31.84
AEP,64.03,67.08,71.32,57.89
AES,11.37,12.43,13.32,8.88
AET,122.56,140.19,136.50,92.42
AF,18.78,17.30,19.26,14.11
AFA,25.3256,null,26.8900,24.1600
AFC,25.68,null,26.28,24.30
AFGE,26.50,null,28.28,24.43
AFI,20.95,19.00,22.00,11.77
-1
-1
-1
AFSS,26.16,null,26.81,23.84
AFT,17.4837,null,18.0000,13.7100
AG,9.96,11.92,19.15,3.41
AGCO,63.18,57.00,64.38,43.75
AGI,8.24,8.92,10.41,3.62
AGM-A,59.08,null,65.96,27.01
-1
AGN,230.87,261.21,301.32,184.50
AGO,40.01,43.25,40.43,21.79
-1
AGR,39.00,41.29,46.74,35.42
AGU,103.29,104.61,111.88,79.94
AHC,6.50,3.00,7.95,4.75
AHL,56.80,54.50,57.80,40.34
-1
AHP,13.52,14.25,17.64,9.37
AHS,33.02,46.93,44.99,21.24
-1
-1
AIB,25.46,null,26.79,23.00
AIF,15.99,21.68,16.35,12.43
-1
AIR,32.98,36.00,38.75,18.36
AIV,44.44,47.21,47.91,34.97
-1
AIY,25.9337,null,27.4100,22.7300
AJG,54.01,57.57,54.65,37.19
AJX,13.12,16.00,14.48,9.06
-1
AKR,32.15,37.33,38.01,31.04
AL,37.00,44.13,37.24,22.47
ALDW,9.80,10.75,17.39,7.63
ALEX,45.05,49.00,46.43,29.06
ALJ,11.22,12.03,13.01,5.86
ALL,77.48,81.06,78.12,61.70
-1
-1
-1
ALLY,22.71,25.53,22.72,14.84
ALR,38.93,48.00,54.13,31.47
ALSN,35.48,36.06,35.95,20.56
ALX,424.39,460.00,451.99,358.00
AMBR,9.06,13.17,12.30,3.60
AME,51.51,55.80,52.83,43.28
AMG,158.13,187.38,179.85,115.97
-1
-1
-1
AMP,121.26,135.22,123.29,76.00
AMT,105.25,129.80,118.26,83.07
-1
AMX,12.58,13.04,15.95,11.02
ANET,95.52,98.77,103.00,52.51
ANFI,6.04,13.00,14.09,5.52
-1
-1
ANTX,49.30,null,49.69,40.72
AOD,8.04,null,8.04,6.52
AON,114.06,120.47,116.59,90.86
AP,15.60,16.00,19.22,9.34
APAM,29.30,27.42,35.00,23.65
APC,70.40,81.94,73.33,33.85
APF,14.39,null,15.34,11.67
APLE,19.94,19.60,20.68,17.32
APTS,14.20,15.75,15.39,10.66
AR,26.16,34.26,30.66,21.45
ARC,4.69,5.55,5.55,3.06
ARCX,15.74,16.40,17.40,9.50
ARE,110.64,117.33,114.67,70.69
-1
ARES,19.55,20.08,20.95,10.76
ARI,17.49,17.07,18.10,15.03
ARL,6.835,null,7.930,3.910
AROC,15.28,13.04,15.70,3.41
-1
ARR,21.46,21.42,23.40,17.51
-1
ARW,74.46,70.89,74.57,51.57
ASB,25.20,24.58,26.00,15.72
-1
ASG,4.36,3.60,4.44,3.45
ASH,118.70,125.63,125.00,88.30
ASR,149.56,168.44,165.40,128.01
AT,2.35,2.52,2.75,1.58
ATHM,32.01,30.25,32.15,19.32
ATKR,27.11,25.17,27.30,14.17
ATR,73.78,76.71,81.50,69.88
ATU,26.90,0.55,29.80,20.54
ATW,12.65,10.82,15.37,5.07
AUO,4.26,4.50,4.42,2.41
AV,11.69,null,15.59,9.11
AVAL,8.55,8.83,9.04,5.98
AVD,16.75,18.44,20.00,11.68
AVH,7.26,8.03,10.91,3.95
AVP,5.75,6.45,6.96,2.61
AVV,25.63,null,26.95,25.06
AVY,79.05,84.57,80.84,60.37
AWH,53.30,51.71,54.46,30.29
AWK,72.41,78.92,85.24,63.25
AWR,44.09,42.25,47.24,37.28
AXL,20.20,18.80,20.90,11.44
AXON,13.68,26.85,17.66,8.86
AXR,6.8601,2.4600,8.1400,3.6600
-1
AXTA,29.66,31.19,30.45,20.67
AYR,22.79,22.77,22.99,15.06
AZO,724.72,878.59,819.54,681.01
